0,1,2
2546.9149646495757,2499.995135526545,2533.4112259473495
3073.8299292991514,2989.9902710530896,3056.822451894699
3600.744893948727,3479.9854065796344,3580.2336778420486
4040.0,3944.53129117507,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,3939.24989307715,4020.0
4040.0,3858.4997861542997,4020.0
4040.0,3777.7496792314496,4020.0
4040.0,3696.9995723085995,4020.0
4040.0,3618.3023753230723,4020.0
4040.0,3539.605178337545,4020.0
4040.0,3460.907981352018,4020.0
4040.0,3582.2107843664908,4020.0
4040.0,3702.644315721582,4020.0
4040.0,3823.0778470766736,4020.0
4040.0,3943.511378431765,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,3893.45369447478,4020.0
4040.0,3966.9073889495603,4020.0
4040.0,4004.7190434993713,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,3873.0283681378896,4020.0
4040.0,3726.0567362757793,4020.0
4040.0,3606.8749157225748,4020.0
4040.0,3487.6930951693703,4020.0
4040.0,3368.511274616166,4020.0
4040.0,3449.3294540629613,4020.0
4040.0,3544.0130063228544,4020.0
4040.0,3638.6965585827475,4020.0
4040.0,3733.3801108426405,4020.0
4040.0,3828.0636631025336,4020.0
4040.0,3924.404406502241,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,3909.2622518166936,4020.0
4040.0,3798.524503633387,4020.0
4040.0,3687.786755450081,4020.0
4040.0,3577.0490072667744,4020.0
4040.0,3652.9350851225217,4020.0
4040.0,3728.821162978269,4020.0
4040.0,3804.7072408340164,4020.0
4040.0,3880.5933186897637,4020.0
4040.0,3973.8482713609974,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,3942.611779654085,4020.0
4040.0,3865.2235593081696,4020.0
4040.0,3754.7042960847143,4020.0
4040.0,3644.185032861259,4020.0
4040.0,3533.665769637804,4020.0
4040.0,3423.1465064143486,4020.0
4040.0,3301.493740601089,4020.0
4040.0,3379.8409747878295,4020.0
4040.0,3458.18820897457,4020.0
4040.0,3536.5354431613105,4020.0
4040.0,3619.8098206345917,4020.0
4040.0,3703.084198107873,4020.0
4040.0,3786.358575581154,4020.0
4040.0,3869.6329530544353,4020.0
4040.0,3954.144380382367,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,3904.511427327932,4020.0
4040.0,3964.680217303639,4020.0
4035.29344844213,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
4040.0,4020.0,4020.0
3995.621176208387,4020.0,4020.0
3964.5003103368304,4015.29344844213,4020.0
3933.3794444652735,4010.5868968842597,4020.0
3902.2585785937167,4005.8803453263895,4020.0
3871.13771272216,4001.1737937685193,4020.0
3841.050121136412,3777.326393528032,4020.0
4010.9625295506644,3553.4789932875447,4020.0
4040.0,3329.6315930470573,4020.0
4040.0,3105.78419280657,4020.0
4040.0,2877.768934838962,4020.0
4006.8183616203555,2649.7536768713544,4020.0
3973.636723240711,2421.7384189037466,4020.0
3940.4550848610666,2393.723160936139,4020.0
3925.0365644762014,2375.136544494238,4020.0
3909.6180440913367,2356.5499280523372,4020.0
3894.199523706472,2337.9633116104364,4020.0
3878.7810033216074,2319.3766951685357,4020.0
3916.6772328714187,2322.3935890578214,4020.0
3954.57346242123,2325.410482947107,4020.0
4040.0,2328.427376836393,4020.0
4040.0,2331.4442707256785,4020.0
4040.0,2350.2008968372033,4020.0
4040.0,2368.957522948728,4020.0
4040.0,2387.714149060253,4020.0
4040.0,2406.470775171778,4020.0
4040.0,2442.582850260828,4020.0
4040.0,2478.694925349878,4020.0
4040.0,2514.807000438928,4020.0
4040.0,2550.919075527978,4020.0
