service_rate_Total,service_rate_RT
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
98.0,90.0
95.0,80.0
94.29,90.0
93.75,90.0
93.33,90.0
92.0,80.0
90.91,80.0
88.33,60.0
86.92,70.0
85.71,70.0
84.0,60.0
81.88,50.0
80.0,50.0
78.33,50.0
76.84,50.0
76.0,60.0
75.24,60.0
74.55,60.0
73.91,60.0
72.92,50.0
72.0,50.0
71.15,50.0
70.37,50.0
69.64,50.0
69.31,60.0
69.0,60.0
68.71,60.0
68.44,60.0
68.18,60.0
68.24,70.0
68.0,60.0
67.78,60.0
67.57,60.0
67.37,60.0
66.92,50.0
66.25,40.0
65.61,40.0
65.0,40.0
64.65,50.0
64.32,50.0
64.0,50.0
63.7,50.0
63.4,50.0
62.92,40.0
62.45,40.0
62.0,40.0
61.57,40.0
61.15,40.0
60.75,40.0
60.37,40.0
60.0,40.0
59.64,40.0
59.3,40.0
59.14,50.0
58.98,50.0
58.83,50.0
58.69,50.0
58.23,30.0
57.94,40.0
57.66,40.0
57.38,40.0
57.12,40.0
56.87,40.0
56.76,50.0
56.67,50.0
56.57,50.0
56.62,60.0
56.81,70.0
56.99,70.0
57.16,70.0
57.33,70.0
57.37,60.0
57.4,60.0
57.31,50.0
57.22,50.0
57.0,40.0
56.79,40.0
56.83,60.0
56.87,60.0
56.9,60.0
56.94,60.0
56.86,50.0
56.78,50.0
56.7,50.0
56.63,50.0
56.33,30.0
56.15,40.0
55.98,40.0
55.81,40.0
55.64,40.0
55.47,40.0
55.31,40.0
55.15,40.0
55.0,40.0
54.95,50.0
54.8,40.0
54.55,30.0
54.31,30.0
54.08,30.0
53.94,40.0
53.81,40.0
53.68,40.0
53.55,40.0
53.43,40.0
53.3,40.0
53.27,50.0
53.33,60.0
53.39,60.0
53.45,60.0
53.6,70.0
53.74,70.0
53.88,70.0
53.93,60.0
53.81,40.0
53.7,40.0
53.75,60.0
53.8,60.0
53.85,60.0
53.9,60.0
53.95,60.0
54.0,60.0
54.05,60.0
54.09,60.0
54.14,60.0
54.19,60.0
54.15,50.0
54.05,40.0
53.94,40.0
53.83,40.0
53.73,40.0
53.63,40.0
53.53,40.0
53.5,50.0
53.48,50.0
53.38,40.0
53.29,40.0
53.12,30.0
52.96,30.0
52.8,30.0
52.64,30.0
52.55,40.0
52.47,40.0
52.38,40.0
52.3,40.0
