service_rate_Total,service_rate_RT
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
98.0,90.0
95.0,80.0
94.29,90.0
93.75,90.0
93.33,90.0
92.0,80.0
90.91,80.0
88.33,60.0
86.92,70.0
85.71,70.0
84.0,60.0
81.88,50.0
80.0,50.0
78.33,50.0
76.84,50.0
76.0,60.0
75.24,60.0
74.55,60.0
73.91,60.0
72.92,50.0
72.0,50.0
71.15,50.0
70.37,50.0
69.64,50.0
69.31,60.0
69.0,60.0
68.71,60.0
68.44,60.0
68.18,60.0
68.24,70.0
68.0,60.0
67.78,60.0
67.57,60.0
67.37,60.0
66.92,50.0
66.25,40.0
65.61,40.0
65.0,40.0
64.65,50.0
64.32,50.0
64.0,50.0
63.7,50.0
63.4,50.0
62.92,40.0
62.45,40.0
62.0,40.0
61.57,40.0
61.15,40.0
60.75,40.0
60.37,40.0
60.0,40.0
59.64,40.0
59.3,40.0
59.14,50.0
58.98,50.0
58.83,50.0
58.69,50.0
58.23,30.0
57.94,40.0
57.66,40.0
57.38,40.0
57.12,40.0
56.87,40.0
56.76,50.0
56.67,50.0
56.57,50.0
56.62,60.0
56.81,70.0
56.99,70.0
57.16,70.0
57.33,70.0
57.37,60.0
57.4,60.0
57.31,50.0
57.22,50.0
57.0,40.0
56.79,40.0
56.83,60.0
56.87,60.0
56.9,60.0
56.94,60.0
56.86,50.0
56.78,50.0
56.7,50.0
56.63,50.0
56.33,30.0
56.15,40.0
55.98,40.0
55.81,40.0
55.64,40.0
55.47,40.0
55.31,40.0
55.15,40.0
55.0,40.0
54.95,50.0
54.8,40.0
54.55,30.0
54.31,30.0
54.08,30.0
53.94,40.0
53.81,40.0
53.68,40.0
53.55,40.0
53.43,40.0
53.3,40.0
53.27,50.0
53.33,60.0
53.39,60.0
53.45,60.0
53.6,70.0
53.74,70.0
53.88,70.0
53.93,60.0
53.81,40.0
53.7,40.0
53.75,60.0
53.8,60.0
53.85,60.0
53.9,60.0
53.95,60.0
54.0,60.0
54.05,60.0
54.09,60.0
54.14,60.0
54.19,60.0
54.15,50.0
54.05,40.0
53.94,40.0
53.83,40.0
53.73,40.0
53.63,40.0
53.53,40.0
53.5,50.0
53.48,50.0
53.38,40.0
53.29,40.0
53.12,30.0
52.96,30.0
52.8,30.0
52.64,30.0
52.55,40.0
52.47,40.0
52.38,40.0
52.3,40.0
52.28,50.0
52.27,50.0
52.25,50.0
52.3,60.0
52.35,60.0
52.4,60.0
52.32,40.0
52.31,50.0
52.23,40.0
52.22,50.0
52.2,50.0
52.19,50.0
52.17,50.0
52.22,60.0
52.27,60.0
52.32,60.0
52.36,60.0
52.47,70.0
52.51,60.0
52.56,60.0
52.6,60.0
52.65,60.0
52.63,50.0
52.56,40.0
52.49,40.0
52.41,40.0
52.4,50.0
52.33,40.0
52.32,50.0
52.3,50.0
52.29,50.0
52.28,50.0
52.21,40.0
52.14,40.0
52.08,40.0
52.01,40.0
51.95,40.0
51.88,40.0
51.82,40.0
51.76,40.0
51.69,40.0
51.68,50.0
51.68,50.0
51.67,50.0
51.66,50.0
51.6,40.0
51.54,40.0
51.48,40.0
51.42,40.0
51.36,40.0
51.31,40.0
51.3,50.0
51.29,50.0
51.29,50.0
51.33,60.0
51.42,70.0
51.51,70.0
51.6,70.0
51.69,70.0
51.73,60.0
51.77,60.0
51.76,50.0
51.75,50.0
51.7,40.0
51.64,40.0
51.68,60.0
51.72,60.0
51.76,60.0
51.8,60.0
51.79,50.0
51.78,50.0
51.77,50.0
51.76,50.0
51.67,30.0
51.61,40.0
51.56,40.0
51.51,40.0
51.46,40.0
51.41,40.0
51.36,40.0
51.31,40.0
51.26,40.0
51.26,50.0
51.21,40.0
51.12,30.0
51.03,30.0
50.94,30.0
50.89,40.0
50.84,40.0
50.8,40.0
50.75,40.0
50.71,40.0
50.66,40.0
50.66,50.0
50.7,60.0
50.74,60.0
50.78,60.0
50.85,70.0
50.93,70.0
51.01,70.0
51.04,60.0
51.0,40.0
50.96,40.0
50.99,60.0
51.03,60.0
51.06,60.0
51.1,60.0
51.13,60.0
51.17,60.0
51.2,60.0
51.24,60.0
51.27,60.0
51.3,60.0
51.3,50.0
51.25,40.0
51.21,40.0
51.17,40.0
51.13,40.0
51.09,40.0
51.04,40.0
51.04,50.0
51.04,50.0
51.0,40.0
50.96,40.0
50.88,30.0
50.8,30.0
50.73,30.0
50.65,30.0
50.58,30.0
50.54,40.0
50.5,40.0
50.46,40.0
50.46,50.0
50.46,50.0
50.46,50.0
50.49,60.0
50.53,60.0
50.56,60.0
50.52,40.0
50.49,40.0
50.42,30.0
50.38,40.0
50.34,40.0
50.31,40.0
50.27,40.0
50.27,50.0
50.27,50.0
50.3,60.0
50.34,60.0
50.37,60.0
50.37,50.0
50.37,50.0
50.37,50.0
50.36,50.0
50.33,40.0
50.3,40.0
50.23,30.0
50.16,30.0
50.1,30.0
50.03,30.0
50.03,50.0
50.03,50.0
50.03,50.0
50.03,50.0
50.0,40.0
49.97,40.0
49.94,40.0
49.91,40.0
49.87,40.0
49.84,40.0
49.81,40.0
49.78,40.0
49.75,40.0
49.72,40.0
49.69,40.0
49.66,40.0
49.63,40.0
49.63,50.0
49.57,30.0
49.51,30.0
49.45,30.0
49.42,40.0
49.4,40.0
49.37,40.0
49.34,40.0
49.31,40.0
49.28,40.0
49.23,30.0
49.17,30.0
49.11,30.0
49.06,30.0
49.0,30.0
48.91,20.0
48.86,30.0
48.83,40.0
48.81,40.0
48.75,30.0
48.7,30.0
48.65,30.0
48.59,30.0
48.54,30.0
48.49,30.0
48.43,30.0
48.38,30.0
48.33,30.0
48.31,40.0
48.28,40.0
48.29,50.0
48.26,40.0
48.24,40.0
48.22,40.0
48.19,40.0
48.17,40.0
48.12,30.0
48.07,30.0
48.02,30.0
47.97,30.0
47.92,30.0
47.87,30.0
47.83,30.0
47.78,30.0
47.73,30.0
47.68,30.0
47.63,30.0
47.59,30.0
47.54,30.0
47.49,30.0
47.45,30.0
47.43,40.0
47.38,30.0
47.34,30.0
47.29,30.0
47.22,20.0
47.15,20.0
47.08,20.0
47.01,20.0
46.94,20.0
46.89,30.0
46.85,30.0
46.8,30.0
46.76,30.0
46.72,30.0
46.68,30.0
46.63,30.0
46.56,20.0
46.5,20.0
46.43,20.0
46.34,10.0
46.25,10.0
46.16,10.0
46.07,10.0
45.98,10.0
45.89,10.0
45.82,20.0
45.76,20.0
45.69,20.0
45.65,30.0
45.62,30.0
45.58,30.0
45.54,30.0
45.5,30.0
45.46,30.0
45.43,30.0
45.39,30.0
45.33,20.0
45.27,20.0
45.2,20.0
45.14,20.0
45.08,20.0
45.05,30.0
45.01,30.0
